time_step,semantic_scenario_key,semantic_param_path,scenario_name,action_value,prior_action,score,env_reward,planning_time_seconds,method,price_weight,carbon_weight,low_q,high_q,smooth_weight,peak_charge_penalty_weight
93,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.3175290128713883,-8.800866842269897,0.16187405586242676,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
94,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.2771170947025499,-9.043566703796387,0.16228413581848145,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
95,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.22327712196667493,-7.819483280181885,0.1488049030303955,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
96,cost_priority,semantic_params/cost_priority.json,cost_优先,0.1,0.0,0.19828247758873005,-11.980875134468079,0.18903398513793945,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
97,cost_priority,semantic_params/cost_priority.json,cost_优先,0.1,0.0,0.18643072839692168,-6.6143834590911865,0.4474449157714844,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
98,cost_priority,semantic_params/cost_priority.json,cost_优先,0.1,0.0,0.17493252830690842,-9.048533260822296,0.13472890853881836,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
99,cost_priority,semantic_params/cost_priority.json,cost_优先,0.1,0.0,0.19135872608486332,-7.074399888515472,0.1279439926147461,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
100,cost_priority,semantic_params/cost_priority.json,cost_优先,0.1,0.0,0.190990596541483,-7.024450123310089,0.1304168701171875,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
101,cost_priority,semantic_params/cost_priority.json,cost_优先,0.1,0.0,0.21295700027142722,-5.301699995994568,0.12769675254821777,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
102,cost_priority,semantic_params/cost_priority.json,cost_优先,0.1,0.0,0.21591308369756848,-6.790349960327148,0.13295698165893555,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
103,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.23940066383382763,-3.7187001407146454,0.13248395919799805,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
104,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.2609011958484804,-3.2541667222976685,0.13523292541503906,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
105,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.2817400950949092,-1.8021665811538696,0.13345885276794434,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
106,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.30147794750583795,-0.9344666004180908,0.13556122779846191,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
107,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.3382310475347623,-0.016933392733335495,0.13385915756225586,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
108,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.3246042519705276,-1.8186834417283535,0.16123580932617188,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
109,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.310566394380172,-1.8962667286396027,0.16156792640686035,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
110,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.2981560759210965,-1.6058332920074463,0.16527318954467773,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
111,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.28879973205728654,-1.7132499814033508,0.17401695251464844,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
112,cost_priority,semantic_params/cost_priority.json,cost_优先,-0.1,-0.1,0.8121386516036002,-0.5347167253494263,0.16010022163391113,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
113,cost_priority,semantic_params/cost_priority.json,cost_优先,-0.1,-0.1,0.8207777441680008,-1.304266780614853,0.1800529956817627,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
114,cost_priority,semantic_params/cost_priority.json,cost_优先,-0.1,-0.1,0.8488769796230938,-6.702466368675232,0.16967511177062988,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
115,cost_priority,semantic_params/cost_priority.json,cost_优先,-0.1,-0.1,0.8530725495811877,-3.6763749718666077,0.16936779022216797,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
116,cost_priority,semantic_params/cost_priority.json,cost_优先,-0.1,-0.1,0.8492529634481456,-4.827633202075958,0.4166901111602783,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
117,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.27039014723210875,-7.740316733717918,0.1367969512939453,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
118,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.20341879466615204,-13.025066673755646,0.1425938606262207,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
